date,Open,High,Low,Values,Adj Close,Volume
06-07-2021,197,202,188.3500061,191.3500061,189.0740814,9208353
07-07-2021,191.8000031,195.6999969,191,193.9499969,191.6431427,3109116
08-07-2021,193.8500061,195.3000031,187,190.8500061,188.5800323,3245896
09-07-2021,190.8000031,192.3999939,187.5,188.1999969,185.9615479,1846825
12-07-2021,182,194.6499939,181.9499969,190.6000061,188.3330078,5323324
13-07-2021,190,191.8000031,187.1999969,188.1999969,185.9615479,2285100
14-07-2021,189,190.3999939,184.5,185.3999939,183.1948395,1660949
15-07-2021,186.6999969,187.3999939,182.5500031,183.4499969,181.2680359,1460067
16-07-2021,184.6999969,185.6000061,182.1999969,183,180.8233948,1278871
19-07-2021,181.3000031,185.3000031,179.3000031,180.1000061,177.9578857,1784256
20-07-2021,180,180.5,173.1499939,174.3999939,172.3256683,1882578
22-07-2021,175.5500031,180.8999939,174.3000031,176.25,174.1536713,1776508
23-07-2021,177,182.5,175.25,179.4499969,177.3156128,2024493
26-07-2021,179.1999969,181.8999939,177.75,178.6999969,176.5745239,1041877
27-07-2021,180.3500061,181,174.3999939,175.8000031,173.7090149,1003831
28-07-2021,176.8999939,180.5,175.1000061,177.9499969,175.8334503,1398584
29-07-2021,178.0500031,183.8500061,177,182.3500061,181.1993866,2210739
30-07-2021,181.6000061,187.5,181.0500031,183.3500061,182.1930847,1411021
02-08-2021,184,184.8000031,178.1999969,179.5,178.3673706,1259985
03-08-2021,180.6000061,181.75,178,178.5,177.3736725,702485
04-08-2021,179.6999969,180.75,175.5,177.0500031,175.9328308,852745
05-08-2021,177.0500031,180.1999969,174.3999939,177.4499969,176.330307,1266987
06-08-2021,178,182.25,176.6999969,178.75,177.6221008,1262248
09-08-2021,180,181.8500061,177.3000031,177.8000031,176.6781006,1090496
10-08-2021,178.6999969,180.6999969,172.8000031,174.1999969,173.1008148,1390433
11-08-2021,175.1499939,176.6000061,167.6000061,171.3999939,170.3184662,1751124
12-08-2021,172.8000031,178.8999939,172.75,177.8500061,176.7277832,1223638
13-08-2021,179,181.3999939,175.1499939,176.1000061,174.9888306,1237194
16-08-2021,177.5,179.1999969,173.8500061,175.6999969,174.5913391,1024470
17-08-2021,179.6000061,185.75,178.5500031,180.9499969,179.8082123,5197322
18-08-2021,181.8999939,181.8999939,176.1000061,177.4499969,176.330307,1061619
20-08-2021,177,177,171.5,172.6999969,171.6102753,967051
23-08-2021,174.4499969,175.3500061,165,166.0500031,165.002243,1169773
24-08-2021,167,171,165.6999969,168.1999969,167.1386719,1132639
25-08-2021,169.6999969,181,169.0500031,178.5500031,177.4233704,3376754
26-08-2021,176.5,176.8500061,172.5500031,173.8500061,172.7530212,1240932
27-08-2021,172.75,177,170.25,175.1000061,173.9951324,1253293
30-08-2021,176,182.1999969,172,179.6000061,178.4667358,3205491
31-08-2021,183,184.5,178.25,181.25,180.1063232,3724478
01-09-2021,184.75,190.3999939,181.3999939,189,187.8074188,7585228
02-09-2021,190.3999939,217.4499969,189.3000031,208.8999939,207.5818481,45220950
03-09-2021,210.3999939,214.8000031,204.1999969,206.6999969,205.3957367,8994034
06-09-2021,208,223.75,205.1999969,220.1499939,218.7608643,23971862
07-09-2021,218.4499969,231.1999969,212.6499939,223.3000031,221.8909912,19072299
08-09-2021,225.3999939,229.5,220.0500031,222.5500031,221.1457214,9809041
09-09-2021,222.5500031,228.3000031,218.6999969,222.3999939,220.9966736,7722161
13-09-2021,222.3000031,223.8999939,216.5500031,222.25,220.8476257,5081387
14-09-2021,223.5,233.8000031,222.1999969,230.3999939,228.9461823,12626317
15-09-2021,230.8999939,247.5,229,244.8999939,243.3546906,17790626
16-09-2021,243.9499969,248,236.25,237.6499939,236.1504364,7150056
17-09-2021,238.6999969,240.0500031,223.5,228.6499939,227.2072296,7383835
20-09-2021,233,240,221,223.4499969,222.0400391,10947216
21-09-2021,223.8000031,232.8999939,220.1000061,231.6999969,230.2379913,6653398
22-09-2021,231.8999939,236.3999939,229.5500031,231.25,229.7908325,4471650
23-09-2021,233.1999969,238.8500061,231.3000031,233.3000031,231.8278961,4940854
24-09-2021,234.6000061,244.8000031,229.1999969,242.1499939,240.6220398,10618095
27-09-2021,242.5,251,240.6499939,246.6999969,245.1433411,9633421
